Name Type1 Type2 HP Attack Defense Sp.Atk Sp.Def Speed
Bulbasaur Grass Poison 45 49 49 65 65 45
Ivysaur Grass Poison 60 62 63 80 80 60
Venusaur Grass Poison 80 82 83 100 100 80
Charmander Fire null 39 52 43 60 50 65
Charmeleon Fire null 58 64 58 80 65 80
Charizard Fire Flying 78 84 78 109 85 100
Squirtle Water null 44 48 65 50 64 43
Wartortle Water null 59 63 80 65 80 58
Blastoise Water null 79 83 100 85 105 78
Caterpie Bug null 45 30 35 20 20 45
Metapod Bug null 50 20 55 25 25 30
Butterfree Bug Flying 60 45 50 90 80 70
Weedle Bug Poison 40 35 30 20 20 50
Kakuna Bug Poison 45 25 50 25 25 35
Beedrill Bug Poison 65 90 40 45 80 75
Pidgey Normal Flying 40 45 40 35 35 56
Pidgeotto Normal Flying 63 60 55 50 50 71
Pidgeot Normal Flying 83 80 75 70 70 101
Rattata Normal null 30 56 35 25 35 72
Raticate Normal null 55 81 60 50 70 97
Spearow Normal Flying 40 60 30 31 31 70
Fearow Normal Flying 65 90 65 61 61 100
Ekans Poison null 35 60 44 40 54 55
Arbok Poison null 60 85 69 65 79 80
Pikachu Electric null 35 55 40 50 50 90
Raichu Electric null 60 90 55 90 80 110
Sandshrew Ground null 50 75 85 20 30 40
Sandslash Ground null 75 100 110 45 55 65
Nidoran♀ Poison null 55 47 52 40 40 41
Nidorina Poison null 70 62 67 55 55 56
Nidoqueen Poison Ground 90 92 87 75 85 76
Nidoran♂ Poison null 46 57 40 40 40 50
Nidorino Poison null 61 72 57 55 55 65
Nidoking Poison Ground 81 102 77 85 75 85
Clefairy Fairy null 70 45 48 60 65 35
Clefable Fairy null 95 70 73 95 90 60
Vulpix Fire null 38 41 40 50 65 65
Ninetales Fire null 73 76 75 81 100 100
Jigglypuff Normal Fairy 115 45 20 45 25 20
Wigglytuff Normal Fairy 140 70 45 85 50 45
Zubat Poison Flying 40 45 35 30 40 55
Golbat Poison Flying 75 80 70 65 75 90
Oddish Grass Poison 45 50 55 75 65 30
Gloom Grass Poison 60 65 70 85 75 40
Vileplume Grass Poison 75 80 85 110 90 50
Paras Bug Grass 35 70 55 45 55 25
Parasect Bug Grass 60 95 80 60 80 30
Venonat Bug Poison 60 55 50 40 55 45
Venomoth Bug Poison 70 65 60 90 75 90
Diglett Ground null 10 55 25 35 45 95
Dugtrio Ground null 35 80 50 50 70 120
Meowth Normal null 40 45 35 40 40 90
Persian Normal null 65 70 60 65 65 115
Psyduck Water null 50 52 48 65 50 55
Golduck Water null 80 82 78 95 80 85
Mankey Fighting null 40 80 35 35 45 70
Primeape Fighting null 65 105 60 60 70 95
Growlithe Fire null 55 70 45 70 50 60
Arcanine Fire null 90 110 80 100 80 95
Poliwag Water null 40 50 40 40 40 90
Poliwhirl Water null 65 65 65 50 50 90
Poliwrath Water Fighting 90 95 95 70 90 70
Abra Psychic null 25 20 15 105 55 90
Kadabra Psychic null 40 35 30 120 70 105
Alakazam Psychic null 55 50 45 135 95 120
Machop Fighting null 70 80 50 35 35 35
Machoke Fighting null 80 100 70 50 60 45
Machamp Fighting null 90 130 80 65 85 55
Bellsprout Grass Poison 50 75 35 70 30 40
Weepinbell Grass Poison 65 90 50 85 45 55
Victreebel Grass Poison 80 105 65 100 70 70
Tentacool Water Poison 40 40 35 50 100 70
Tentacruel Water Poison 80 70 65 80 120 100
Geodude Rock Ground 40 80 100 30 30 20
Graveler Rock Ground 55 95 115 45 45 35
Golem Rock Ground 80 120 130 55 65 45
Ponyta Fire null 50 85 55 65 65 90
Rapidash Fire null 65 100 70 80 80 105
Slowpoke Water Psychic 90 65 65 40 40 15
Slowbro Water Psychic 95 75 110 100 80 30
Magnemite Electric Steel 25 35 70 95 55 45
Magneton Electric Steel 50 60 95 120 70 70
Farfetch'd Normal Flying 52 65 55 58 62 60
Doduo Normal Flying 35 85 45 35 35 75
Dodrio Normal Flying 60 110 70 60 60 100
Seel Water null 65 45 55 45 70 45
Dewgong Water Ice 90 70 80 70 95 70
Grimer Poison null 80 80 50 40 50 25
Muk Poison null 105 105 75 65 100 50
Shellder Water null 30 65 100 45 25 40
Cloyster Water Ice 50 95 180 85 45 70
Gastly Ghost Poison 30 35 30 100 35 80
Haunter Ghost Poison 45 50 45 115 55 95
Gengar Ghost Poison 60 65 60 130 75 110
Onix Rock Ground 35 45 160 30 45 70
Drowzee Psychic null 60 48 45 43 90 42
Hypno Psychic null 85 73 70 73 115 67
Krabby Water null 30 105 90 25 25 50
Kingler Water null 55 130 115 50 50 75
Voltorb Electric null 40 30 50 55 55 100
Electrode Electric null 60 50 70 80 80 140
